               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,metrics/zombie_mAP_50,metrics/skeleton_mAP_50,metrics/spider_mAP_50,metrics/creeper_mAP_50,metrics/enderman_mAP_50,metrics/slime_mAP_50
                  70,            0.013177,           0.0022334,           0.0016455,             0.99791,              0.9986,             0.99499,             0.85677,           0.0053149,          0.00064213,          0.00031379,            0.001257,            0.001257,            0.001257,             0.83459,             0.88023,             0.81922,             0.84743,              0.8584,             0.90077
                  71,            0.013054,           0.0021969,           0.0016042,             0.99627,             0.99902,             0.99495,              0.8499,           0.0056406,          0.00064016,          0.00032648,           0.0012288,           0.0012288,           0.0012288,             0.82365,             0.84874,             0.85718,             0.83621,             0.84207,             0.89156
                  72,            0.013084,           0.0022141,           0.0016567,             0.99617,             0.99903,             0.99494,             0.85695,           0.0055004,           0.0006367,          0.00030617,           0.0012006,           0.0012006,           0.0012006,             0.85347,             0.85827,             0.82736,             0.84074,             0.86393,             0.89791
                  73,            0.013172,           0.0022298,           0.0017563,              0.9965,             0.99879,             0.99494,             0.85884,           0.0054468,          0.00064006,           0.0003085,           0.0011725,           0.0011725,           0.0011725,             0.84811,              0.8701,             0.85757,               0.838,              0.8463,             0.89299
                  74,            0.012816,           0.0021921,           0.0015909,             0.99711,             0.99807,             0.99495,             0.85829,           0.0054476,          0.00063328,          0.00029999,           0.0011443,           0.0011443,           0.0011443,             0.86213,             0.84578,             0.85595,             0.82978,             0.85219,             0.90388
                  75,            0.012801,           0.0022254,           0.0015849,             0.99577,             0.99904,             0.99495,             0.85707,           0.0053764,          0.00063335,          0.00028729,           0.0011162,           0.0011162,           0.0011162,             0.86976,             0.84365,             0.84869,             0.82276,             0.84928,             0.90825
                  76,            0.012794,           0.0022043,           0.0015603,             0.99729,             0.99958,             0.99497,             0.85642,           0.0056068,          0.00062706,          0.00028478,            0.001088,            0.001088,            0.001088,             0.85527,             0.84434,             0.83628,             0.86239,             0.83209,             0.90812
                  77,            0.012678,           0.0021463,           0.0014966,             0.99568,             0.99996,             0.99491,             0.84282,           0.0059023,          0.00064256,          0.00028001,           0.0010598,           0.0010598,           0.0010598,              0.8557,             0.80499,             0.83153,             0.82927,             0.84194,             0.89347
                  78,            0.012731,           0.0021887,           0.0016748,              0.9969,                   1,             0.99497,             0.86341,           0.0052881,           0.0006178,          0.00027789,           0.0010317,           0.0010317,           0.0010317,             0.87228,             0.84677,             0.85295,              0.8527,             0.85651,             0.89922
                  79,            0.012881,           0.0022284,           0.0016171,             0.99617,                   1,             0.99495,             0.85701,           0.0055617,          0.00062799,          0.00027149,           0.0010035,           0.0010035,           0.0010035,             0.87205,             0.83345,             0.84775,              0.8284,              0.8521,             0.90829
                  80,            0.012628,           0.0021732,            0.001455,             0.99555,                   1,             0.99495,             0.85205,           0.0056764,          0.00062495,          0.00026976,          0.00097536,          0.00097536,          0.00097536,             0.85544,             0.85249,             0.82455,             0.84668,             0.83669,             0.89646
                  81,            0.012602,           0.0021583,           0.0016121,             0.99678,                   1,             0.99495,             0.87477,           0.0050158,          0.00061113,          0.00026193,           0.0009472,           0.0009472,           0.0009472,             0.88176,             0.87589,             0.87257,             0.85635,             0.86882,              0.8932
                  82,            0.012487,           0.0021448,           0.0014446,             0.99751,             0.99999,             0.99498,             0.86704,           0.0052908,          0.00060814,           0.0002527,          0.00091904,          0.00091904,          0.00091904,             0.88103,             0.85725,             0.87302,             0.85936,             0.83107,             0.90048
                  83,            0.012559,            0.002243,           0.0015728,             0.99693,                   1,             0.99498,             0.85199,           0.0055557,          0.00061761,          0.00025084,          0.00089088,          0.00089088,          0.00089088,             0.84455,             0.83816,             0.84974,              0.8291,             0.84516,             0.90525
                  84,            0.012194,           0.0021066,           0.0014269,             0.99741,             0.99961,             0.99499,             0.85937,           0.0054541,           0.0006143,          0.00024086,          0.00086272,          0.00086272,          0.00086272,             0.86641,             0.85972,             0.84683,             0.84048,             0.85304,             0.88978
                  85,            0.012019,           0.0021283,           0.0013774,             0.99669,             0.99998,             0.99497,             0.86269,            0.005291,          0.00061508,          0.00024051,          0.00083456,          0.00083456,          0.00083456,             0.85048,              0.8623,             0.84504,             0.83837,             0.86664,             0.91331
                  86,            0.012191,           0.0021256,            0.001372,             0.99662,             0.99999,             0.99496,             0.87095,           0.0050878,          0.00060502,          0.00023405,           0.0008064,           0.0008064,           0.0008064,             0.85375,             0.87093,             0.85923,              0.8595,             0.87228,             0.91001
                  87,            0.012301,           0.0021182,           0.0015181,             0.99785,             0.99941,             0.99498,             0.87031,           0.0050842,          0.00060413,          0.00022874,          0.00077824,          0.00077824,          0.00077824,             0.87823,             0.85573,             0.84858,             0.86954,             0.86618,             0.90358
                  88,            0.012209,           0.0020691,           0.0014548,             0.99724,             0.99997,             0.99497,             0.85584,           0.0055938,          0.00061001,          0.00022594,          0.00075008,          0.00075008,          0.00075008,             0.84475,              0.8302,             0.86171,             0.84636,             0.84335,             0.90866
                  89,            0.012144,           0.0020956,             0.00151,             0.99701,             0.99999,             0.99498,             0.86251,           0.0054027,          0.00060874,          0.00022234,          0.00072192,          0.00072192,          0.00072192,              0.8626,             0.83887,             0.85496,             0.84798,             0.85379,             0.91683
                  90,             0.01227,           0.0020687,           0.0014997,             0.99744,                   1,               0.995,             0.87153,           0.0051266,           0.0005999,           0.0002168,          0.00069376,          0.00069376,          0.00069376,             0.86876,             0.86712,             0.86745,             0.85076,             0.86113,             0.91395
                  91,            0.012049,           0.0021086,           0.0014558,              0.9985,              0.9993,               0.995,             0.86044,           0.0052768,          0.00060253,          0.00021382,           0.0006656,           0.0006656,           0.0006656,             0.85686,              0.8639,             0.82763,              0.8458,             0.85933,             0.90911
                  92,            0.012081,           0.0021122,           0.0013703,              0.9976,             0.99898,               0.995,             0.87102,           0.0051128,          0.00059627,          0.00020827,          0.00063744,          0.00063744,          0.00063744,             0.87631,             0.86676,             0.85515,             0.85247,             0.86902,             0.90641
                  93,            0.011969,           0.0021353,           0.0013475,             0.99826,             0.99897,               0.995,              0.8749,           0.0050962,          0.00059851,          0.00020564,          0.00060928,          0.00060928,          0.00060928,             0.87663,              0.8712,             0.84862,             0.84703,             0.88763,             0.91828
                  94,            0.011891,           0.0021527,           0.0013449,             0.99759,             0.99973,               0.995,             0.86265,           0.0053248,          0.00059937,          0.00020258,          0.00058112,          0.00058112,          0.00058112,             0.86799,              0.8471,              0.8576,             0.82984,             0.85887,             0.91451
                  95,             0.01187,           0.0020623,           0.0013476,             0.99833,             0.99895,               0.995,             0.87722,           0.0048474,          0.00059329,            0.000199,          0.00055296,          0.00055296,          0.00055296,             0.87667,             0.87431,             0.86717,             0.85804,             0.86992,             0.91722
                  96,            0.011857,           0.0021494,           0.0013104,             0.99799,              0.9999,             0.99499,             0.87084,            0.005093,          0.00059487,          0.00019357,           0.0005248,           0.0005248,           0.0005248,             0.86195,             0.87466,             0.86705,             0.84663,             0.86866,             0.90608
                  97,            0.012012,           0.0021361,           0.0013826,              0.9981,                   1,             0.99499,             0.87055,           0.0051175,          0.00059326,          0.00019038,          0.00049664,          0.00049664,          0.00049664,             0.85203,             0.86022,             0.86768,             0.85622,             0.86762,             0.91951
                  98,            0.011564,           0.0020615,           0.0012905,             0.99773,             0.99989,               0.995,             0.87387,           0.0050874,          0.00059234,          0.00018765,          0.00046848,          0.00046848,          0.00046848,             0.86515,             0.85415,             0.87011,             0.86454,             0.87056,             0.91869
                  99,            0.011934,           0.0020577,           0.0013255,             0.99821,             0.99952,               0.995,             0.87505,            0.004986,          0.00058963,           0.0001843,          0.00044032,          0.00044032,          0.00044032,             0.87422,             0.87418,               0.865,             0.85423,             0.87821,             0.90447
